Document Title,¤¤¤å¼ÐÃD,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Scalability analysis of semantics based distributed document clustering algorithms,°ò©ó»y¸qªº¤À§G¦¡¤åÀÉ»EÃþºâªkªº¥iÂX®i©Ê¤ÀªR,N. Shah; S. Mahajan,"IT Department, DJSCE, Vile Parle (West), Mumbai, India; Institute of Computer Science, M.E.T., Bandra (west), Mumbai, India","2017 International Conference on Intelligent Computing, Instrumentation and Control Technologies (ICICICT)",23-Apr-18,2017,,,763,768,"Document clustering is an unsupervised learning paradigm. It provides efficient representation and visualization of the documents; thus helps in easy navigation. The importance of document clustering emerges from the massive volume of textual documents created. Here, semantics based distributed document clustering using Hadoop and MapReduce is proposed. Distributed version of two well-known algorithms, K-Means and Bisecting K-Means, is implemented; testing and comparison of both these algorithms is done for scalability and stability on single-node and multi-node Hadoop cluster. Also, scalability of the cluster setup and both the distributed algorithms is verified. The scalability of the algorithms is based on the Speedup, Scaleup, and Sizeup parameters.",,978-1-5090-6106-8,10.1109/ICICICT1.2017.8342660,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8342660,Document Clustering;Distributed Document Clustering;K-Means for Distributed Document Clustering;Bisecting K-Means for Distributed Document Clustering;Scalability of Distributed Document Clustering algorithms,Semantics;Scalability;Clustering algorithms;Partitioning algorithms;Stability analysis;Data mining;Databases,data handling;data visualisation;distributed algorithms;document handling;parallel processing;pattern clustering;unsupervised learning,multinode Hadoop cluster;distributed algorithms;scalability analysis;document clustering;unsupervised learning paradigm;textual documents;distributed version;document visualization;MapReduce;single-node Hadoop cluster,,,,23,,23-Apr-18,,,IEEE,IEEE Conferences
Text document clustering on the basis of inter passage approach by using K-means,³q¹L¨Ï¥Îk-means°ò©ó¸ó³q¹D¤èªk¶i¦æ¤å¥»¤åÀÉ»EÃþ,R. K. Mishra; K. Saini; S. Bagri,"Computer Science and Engineering, Manav Rachna College of Engineering, Faridabad, India; Computer Science and Engineering, Manav Rachna College of Engineering, Faridabad, India; Computer Science and Engineering, Manav Rachna College of Engineering, Faridabad, India","International Conference on Computing, Communication & Automation",6-Jul-15,2015,,,110,113,"Document clustering usually deals with clustering of documents that revolve around a single topic. To achieve more efficient clustering results, it is important to consider the fact that a document may deal with more than one topic. Our research work proposes a new inter-passage based clustering technique which will cluster the segment of the documents on the basis of similarities. The input will be the collection of documents consisting of multi topic segments taken from web. SentiWordNet has been used to calculate the segment score of the segments within the documents. Based upon the segment score segment based clustering is performed on the intra-document level. Once we are done with intra-document segment based clustering then k-means approach is applied to the entire collection of documents to perform inter-document clustering in which the similar segments of various documents will be clustered under a single cluster. Our proposed technique would help in efficient organization of multi topic documents into their corresponding clusters.",,978-1-4799-8890-7,10.1109/CCAA.2015.7148354,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7148354,Document Clustering;Intra Document Clustering;Inter Document Clustering;Sentiment analysis;SentiWordNet,Clustering algorithms;Automation;Computer science;Organizations;Information retrieval;Cleaning;Partitioning algorithms,learning (artificial intelligence);pattern clustering;text analysis,text document clustering;inter passage approach;K-means clustering;document similarity;SentiWordNet;segment score segment based clustering;intra-document segment based clustering;inter-document clustering,,8,,6,,6-Jul-15,,,IEEE,IEEE Conferences
A Fast Spectral Method to Solve Document Cluster Ensemble Problem,¤@ºØ¸Ñ¨M¤å¥ó¶°¸s¶°¦X°ÝÃDªº§Ö³tÃÐªk,S. Xu; Z. Lu; G. Gu,"Coll. of Comput. Sci. & Technol., Harbin Eng. Univ., Harbin; Coll. of Inf. & Commun. Eng., Harbin Eng. Univ., Harbin; Coll. of Comput. Sci. & Technol., Harbin Eng. Univ., Harbin",2008 International Multi-symposiums on Computer and Computational Sciences,23-Jan-09,2008,,,180,183,"The critical problem in cluster ensemble is how to combine clusterers to yield a final superior clustering result. In this paper, we introduce a spectral method to solve document cluster ensemble problem. Since spectral clustering inevitably needs to compute the eigenvalues and eigenvectors of a matrix, for large scale document datasets, itpsilas computationally intractable. By using algebraic transformation to similarity matrix we get a feasible algorithm. Experiments on TREC and Reuters document sets show that our spectral algorithm yields better clustering results than other typical cluster ensemble techniques without high computational cost.",,978-0-7695-3430-5,10.1109/IMSCCS.2008.8,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4760320,clustering analysis;cluster ensemble;spectral clustering;document clustering,Clustering algorithms;Partitioning algorithms;Eigenvalues and eigenfunctions;Computational efficiency;Educational institutions;Large-scale systems;Pattern analysis;Machine learning algorithms;Matrix decomposition;Diversity reception,document handling;eigenvalues and eigenfunctions;matrix algebra;pattern clustering,fast spectral method;document cluster ensemble problem;spectral clustering;large scale document datasets;algebraic transformation;TREC document sets;Reuters document sets,,2,,10,,23-Jan-09,,,IEEE,IEEE Conferences
An Improved Document Clustering Approach with Multi-Viewpoint Based on Different Similarity Measures,°ò©ó¤£¦P¬Û¦ü±¹¬Iªº¦hµøÂI§ï¶i¤F¤åÀÉ»EÃþ¤èªk,A. Gunta; R. Dubey,"RGPV: Computer science, sis tech, SAGAR Institute of Science & Technology, Bhopal, India; RGPV: Computer science, sis tech, SAGAR Institute of Science & Technology, Bhopal, India",2018 Second International Conference on Intelligent Computing and Control Systems (ICICCS),10-Mar-19,2018,,,152,157,"Electronic information such as online newspapers, journals, conference proceedings, Web sites, e-mails, etc. They are-growing very fast in extremely large amount. Using all this electronic information controlling, indexing or searching is not possible for human and for search engines also for such a huge amount of large data. Therefore, automatic document organization become a critical issue. With the help of document clustering methods, we can understand data distribution or we can preprocess data for other applications. For an instance, Search engine can produce results more effectively and efficiently if a search engine uses documents those are clustered to search an item or data. Document clustering is an automatic clustering operation and also it is a technique of an unsupervised learning. It combines related documents in one cluster and unrelated documents in different clusters so each cluster consist of documents that are related to one another within the same clusters and are unrelated to documents belonging to other cluster. For applying any clustering methods, it is necessary to calculate similarity measure. The similarity measure is used to find out the degree of closeness or degree of similarity of the target objects. In this paper, we introduce document clustering on Multiview point-based similarity measure and two related document clustering methods. The existing document clustering dissimilarity/similarity measure uses only a single viewpoint, which is the origin that means it uses only one reference point, while the ours use many different viewpoints of references.",,978-1-5386-2842-3,10.1109/ICCONS.2018.8663209,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8663209,text mining;document clustering;information extraction,Clustering algorithms;Conferences;Control systems;Clustering methods;Data mining;Euclidean distance;Length measurement,document handling;pattern clustering;search engines;unsupervised learning,electronic information controlling;indexing;automatic document organization;data distribution;automatic clustering operation;document clustering approach;search engines;multiview point-based similarity measure;document clustering dissimilarity measure;unsupervised learning,,,,12,,10-Mar-19,,,IEEE,IEEE Conferences
Efficient phrase-based document indexing for Web document clustering,°ò©ó°ò©óµu»yªºWeb¤åÀÉ¸s¶°ªº¤åÀÉ¯Á¤Þ,K. M. Hammouda; M. S. Kamel,"Dept. of Syst. Design Eng., Waterloo Univ., Ont., Canada; Dept. of Syst. Design Eng., Waterloo Univ., Ont., Canada",IEEE Transactions on Knowledge and Data Engineering,24-Aug-04,2004,16,10,1279,1296,"Document clustering techniques mostly rely on single term analysis of the document data set, such as the vector space model. To achieve more accurate document clustering, more informative features including phrases and their weights are particularly important in such scenarios. Document clustering is particularly useful in many applications such as automatic categorization of documents, grouping search engine results, building a taxonomy of documents, and others. This article presents two key parts of successful document clustering. The first part is a novel phrase-based document index model, the document index graph, which allows for incremental construction of a phrase-based index of the document set with an emphasis on efficiency, rather than relying on single-term indexes only. It provides efficient phrase matching that is used to judge the similarity between documents. The model is flexible in that it could revert to a compact representation of the vector space model if we choose not to index phrases. The second part is an incremental document clustering algorithm based on maximizing the tightness of clusters by carefully watching the pair-wise document similarity distribution inside clusters. The combination of these two components creates an underlying model for robust and accurate document similarity calculation that leads to much improved results in Web document clustering over traditional methods.",1558-2191,,10.1109/TKDE.2004.58,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1324634,Index Terms- Web mining;document similarity;phrase-based indexing;document clustering;document structure;document index graph;phrase matching.,Indexing;Data mining;Clustering methods;Information retrieval;Taxonomy;Clustering algorithms;Text mining;Web mining;Artificial intelligence;Data models,Internet;indexing;document handling;data mining;pattern clustering,single term analysis;document data set;vector space model;automatic categorization;search engine;phrase-based document index model;document index graph;phrase matching;pair-wise document similarity distribution;Web document clustering;Web mining;document structure,,164,,45,,24-Aug-04,,,IEEE,IEEE Journals
A comparison of two suffix tree-based document clustering algorithms,°ò©ó«áºóªº¤åÀÉ»EÃþºâªkªº¤ñ¸û,M. Rafi; M. Maujood; Murtaza Munawar Fazal; Syed Muhammad Ali,"National University of Computer & Emerging Sciences, NU-FAST, Karachi, Pakistan; National University of Computer & Emerging Sciences, NU-FAST, Karachi, Pakistan; National University of Computer & Emerging Sciences, NU-FAST, Karachi, Pakistan; National University of Computer & Emerging Sciences, NU-FAST, Karachi, Pakistan",2010 International Conference on Information and Emerging Technologies,9-Nov-10,2010,,,1,5,"Document clustering as an unsupervised approach extensively used to navigate, filter, summarize and manage large collection of document repositories like the World Wide Web (WWW). Recently, focuses in this domain shifted from traditional vector based document similarity for clustering to suffix tree based document similarity, as it offers more semantic representation of the text present in the document. In this paper, we compare and contrast two recently introduced approaches to document clustering based on suffix tree data model. The first is an Efficient Phrase based document clustering, which extracts phrases from documents to form compact document representation and uses a similarity measure based on common suffix tree to cluster the documents. The second approach is a frequent word/word meaning sequence based document clustering, it similarly extracts the common word sequence from the document and uses the common sequence/ common word meaning sequence to perform the compact representation, and finally, it uses document clustering approach to cluster the compact documents. These algorithms are using agglomerative hierarchical document clustering to perform the actual clustering step, the difference in these approaches are mainly based on extraction of phrases, model representation as a compact document, and the similarity measures used for clustering. This paper investigates the computational aspect of the two algorithms, and the quality of results they produced.",,978-1-4244-8003-6,10.1109/ICIET.2010.5625688,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5625688,Document Clustering;Feature Extraction;Document Representation Model;Suffix Tree;Similarity Measure,Clustering algorithms;Entropy;Partitioning algorithms;Semantics;Computational modeling;Algorithm design and analysis;Databases,data mining;document handling;Internet;pattern clustering;tree data structures,two suffix tree based document clustering algorithms;unsupervised approach;document repositories;World Wide Web;WWW;text presentation;document representation;word meaning sequence,,4,,12,,9-Nov-10,,,IEEE,IEEE Conferences
Document Clustering Method Using Weighted Semantic Features and Cluster Similarity,¨Ï¥Î¥[Åv»y¸q¯S¼x©M¸s¶°¬Û¦ü©Êªº¤åÀÉ»EÃþ¤èªk,S. Park; D. U. An; C. I. Cheon,"Adv. Grad. Educ. Center of Jeonbuk for Electron. & Inf. Technol.-BK21, Chonbuk Nat. Univ., Jeonju, South Korea; Div. of Electron. & Inf. Eng., Chonbuk Nat. Univ., Jeonju, South Korea; Div. of Electron. & Inf. Eng., Chonbuk Nat. Univ., Jeonju, South Korea",2010 Third IEEE International Conference on Digital Game and Intelligent Toy Enhanced Learning,13-May-10,2010,,,185,187,"In this paper, a document clustering method that use the weighted semantic features and cluster similarity is introduced to cluster meaningful topics from document set. The proposed method can improve the quality of document clustering because it can avoid clustering the documents whose similarities with topics are high but are meaningless between cluster and document by using the weighted semantic features. Besides, it uses cluster similarity to remove dissimilarity documents in clusters and avoid the biased inherent semantics of the documents to be reflected in clusters by NMF (non-negative matrix factorization). The experimental results demonstrate that the proposed method has better performance than other document clustering methods.",,978-1-4244-6434-0,10.1109/DIGITEL.2010.23,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5463764,Document clustering;semantic feature;cluster similarity;NMF,Clustering methods;Matrix decomposition;Data mining;Games;Sun;Educational technology;Tree graphs;Machine learning;Learning systems;Feature extraction,document handling;matrix algebra;pattern clustering,document clustering method;weighted semantic features;cluster similarity;nonnegative matrix factorization;NMF,,4,,18,,13-May-10,,,IEEE,IEEE Conferences
Malay document clustering using complete linkage clustering technique with Cosine Coefficient,°¨¨Ó¤åÀÉ¸s¶°¨Ï¥Î¨ã¦³¾l©¶«Y¼Æªº§¹¾ãÃì±µ»EÃþ§Þ³N,N. Abd Rahman; Z. Abu Bakar; N. S. S. Zulkefli,"Department of Computer Science, Faculty of Computer and Mathematical Sciences, Universiti Teknologi MARA, Shah Alam, Selangor, Malaysia; Department of Computer Science, Faculty of Computer and Mathematical Sciences, Universiti Teknologi MARA, Shah Alam, Selangor, Malaysia; Department of Computer Science, Faculty of Computer and Mathematical Sciences, Universiti Teknologi MARA, Shah Alam, Selangor, Malaysia",2015 IEEE Conference on Open Systems (ICOS),11-Jan-16,2015,,,103,107,"Finding useful and relevant information is a very challenging task to the user. The retrieval system usually responded with a long listed documents which are not necessarily relevant to the user's need. Document clustering is a special technique that can sort out the documents effectively so that documents in the same cluster are similar to each other and documents in different cluster are dissimilar to each other. This paper focuses on document clustering for Malay test collection. It consists of 2028 Malay translated Hadith documents from book Sahih Bukhari. This paper presents the results using Complete Linkage Clustering algorithm with Cosine Coefficient on Malay translated Hadith documents. The evaluation of the experiments uses Recall (R), Precision (P) and Effectiveness (E) measure. The experiments is conducted on 100 clusters, 50 clusters and 20 clusters. It shows that the smaller the size of clusters, Recall (R) will increase, but Precision (P) will decrease. Results for Effectiveness (E) measure compared to the non-clustered documents show that applying clustering algorithm will improved the effectiveness of searching process. For this experiment 20 clusters is rather effective compared to the others.",,978-1-4673-9434-5,10.1109/ICOS.2015.7377286,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7377286,Malay Information Retrieval;Document Clustering;Hierarchical Agglomerative Clustering;Complete Linkage;Cosine Similarity,Clustering algorithms;Couplings;Conferences;Open systems;Partitioning algorithms;Search engines;Indexes,document handling;information retrieval;natural language processing;pattern clustering,Malay document clustering;complete linkage clustering technique;cosine coefficient;information retrieval system;Malay test collection;searching process,,1,,19,,11-Jan-16,,,IEEE,IEEE Conferences
A novel algorithm for automatic document clustering,¤@ºØ¥Î©ó¦Û°Ê¤åÀÉ»EÃþªº·sºâªk,R. Agrawal; M. Phatak,"MAEER'S MIT, Pune, India; MAEER'S MIT, Pune, India",2013 3rd IEEE International Advance Computing Conference (IACC),13-May-13,2013,,,877,882,"Internet has become an indispensible part of today's life. World Wide Web (WWW) is the largest shared information source. Finding relevant information on the WWW is challenging. To respond to a user query, it is difficult to search through the large number of returned documents with the presence of today's search engines. There is a need to organize a large set of documents into categories through clustering. The documents can be a user query or simply a collection of documents. Document clustering is the task of combining a set of documents into clusters so that intra cluster documents are similar to each other than inter cluster documents. Partitioning and Hierarchical algorithms are commonly used for document clustering. Existing partitioning algorithms have the limitation that the number of clusters has to be given as input and the clustering result depends on this input. If the number of clusters is not known, results are not acceptable. In this paper, we have developed a novel algorithm which generates number of clusters automatically for any unknown text dataset and clusters the documents appropriately based on Cosine Similarity between them. We have also detected zero clustering issue in partitioning algorithm and solved it using our novel algorithm.",,978-1-4673-4529-3,10.1109/IAdCC.2013.6514342,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6514342,Document clustering;Zero Clustering;TF-IDF;Threshold;Cosine similarity,Clustering algorithms;Vectors;Partitioning algorithms;Algorithm design and analysis;Computational modeling;Feature extraction;Silicon,document handling;pattern clustering;query processing;search engines,automatic document clustering algorithm;Internet;World Wide Web;information source;user query;search engines;document collection;partitioning algorithm;hierarchical algorithm;cosine similarity;zero clustering issue,,6,,13,,13-May-13,,,IEEE,IEEE Conferences
Fuzzy clustering of web documents using equivalence relations and fuzzy hierarchical clustering,¨Ï¥Îµ¥»ùÃö«Y©M¼Ò½k¤À¼h»EÃþªºWeb¤åÀÉ¼Ò½k¸s¶°,S. Kumar; M. Kathuria; A. K. Gupta; M. Rani,"Department of Computer Science & Engineering, YMCA University of Science and Technology, Faridabad-121006, India; Department of Computer Science & Engineering, YMCA University of Science and Technology, Faridabad-121006, India; Department of Computer Science & Engineering, YMCA University of Science and Technology, Faridabad-121006, India; Department of Computer Science & Engineering, YMCA University of Science and Technology, Faridabad-121006, India",2012 CSI Sixth International Conference on Software Engineering (CONSEG),10-Nov-12,2012,,,1,5,"The conventional clustering algorithms have difficulties in handling the challenges posed by the collection of natural data which is often vague and uncertain. Fuzzy clustering methods have the potential to manage such situations efficiently. Fuzzy clustering method is offered to construct clusters with uncertain boundaries and allows that one object belongs to one or more clusters with some membership degree. In this paper, an algorithm and experimental results are presented for fuzzy clustering of web documents using equivalence relations and fuzzy hierarchical clustering.",,978-1-4673-2177-8,10.1109/CONSEG.2012.6349496,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6349496,Information Retrieval;Clustering;Fuzzy Clustering;Document Clustering;Web Mining;Search Engine,Clustering algorithms;Web mining;Clustering methods;Information retrieval;Algorithm design and analysis;Euclidean distance,data mining;document handling;fuzzy logic;Internet;learning (artificial intelligence);pattern clustering,Web documents;equivalence relations;fuzzy hierarchical clustering;uncertain boundaries;unsupervised learning;Web mining,,2,,17,,10-Nov-12,,,IEEE,IEEE Conferences
